date,Q_total,Q_sensible,Q_latent,outdoor_air_flow,heating_setpoint,cooling_setpoint,humidifying_setpoint,dehumidifying_setpoint,state
2001-01-03 00:30:00,485.71597551760624,485.71597551760624,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 01:30:00,566.2100948323223,566.2100948323223,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 02:30:00,615.6173257700266,615.6173257700266,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 03:30:00,648.2495868280485,648.2495868280485,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 04:30:00,671.1928102042039,671.1928102042039,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 05:30:00,691.5857948052535,691.5857948052535,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 06:30:00,706.5872154640456,706.5872154640456,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 07:30:00,717.9206569806802,717.9206569806802,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 08:30:00,682.1557745421705,682.1557745421705,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 09:30:00,127.78300883605334,127.78300883605334,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-03 10:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-03 11:30:00,-387.94422674811267,-387.94422674811267,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-03 12:30:00,-1479.1169941010512,-1479.1169941010512,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-03 13:30:00,-957.575054645361,-957.575054645361,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-03 14:30:00,-1164.1128684657442,-1164.1128684657442,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-03 15:30:00,-881.3220367248259,-881.3220367248259,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-03 16:30:00,-865.9038746627402,-865.9038746627402,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-03 17:30:00,-71.98246321196075,-71.98246321196075,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-03 18:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-03 19:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-03 20:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-03 21:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
